source,line,specifier,edge_kind,owner
apps/control-panel/runtime/src/app/(shell)/dsh/platform/policies/page.tsx,3,@bthwani/dsh/control-panel/platform,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/support/page.tsx,3,@bthwani/dsh/control-panel/support,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,4,next/navigation,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,5,@bthwani/dsh/control-panel/navigation,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,12,@bthwani/dsh/control-panel/session,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,13,@bthwani/dsh/control-panel/session,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,14,@bthwani/dsh/control-panel/session,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,15,@bthwani/dsh/control-panel/session,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/layout.tsx,16,@bthwani/dsh/control-panel/session,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/wlt/finance/page.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/wlt/finance/page.tsx,4,@bthwani/dsh/control-panel/finance,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/wlt/finance/payment-sessions/page.tsx,1,@bthwani/dsh/control-panel/finance,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/[service]/[...path]/route.ts,1,next/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/adapters/upstream-proxy.adapter.ts,1,next/headers,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/adapters/upstream-proxy.adapter.ts,2,next/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/adapters/upstream-proxy.adapter.ts,10,../auth/_lib/identity-server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/adapters/upstream-proxy.adapter.ts,11,../_kernel/upstream-http-request,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/_lib/env.ts,3,./server-config,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/_lib/identity-activation.api.ts,1,@bthwani/core-identity,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/_lib/identity-activation.api.ts,2,./identity-server-http.adapter,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/_lib/identity-server.ts,1,@bthwani/core-identity/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/_lib/identity-server.ts,2,./env,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/_lib/session.ts,1,@bthwani/core-identity/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/_lib/session.ts,2,./identity-server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/activate/route.ts,1,next/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/activate/route.ts,2,../_lib/cookies,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/activate/route.ts,3,../_lib/env,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/activate/route.ts,4,../_lib/identity-activation.api,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/login/route.ts,1,next/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/login/route.ts,2,../_lib/cookies,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/login/route.ts,3,../_lib/identity-server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/logout/route.ts,1,next/headers,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/logout/route.ts,2,next/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/logout/route.ts,3,../_lib/cookies,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/logout/route.ts,4,../_lib/identity-server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/refresh/route.ts,1,next/headers,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/refresh/route.ts,2,next/server,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/api/auth/refresh/route.ts,9,../_lib/identity-server,IMPORT_OR_EXPORT,control-panel
