file,line,method,path,operation_id,owner,baseline_sha
core/workforce/contracts/workforce.internal-scopes.openapi.yaml,9,GET,/internal/assignments/{actorId}/scopes,getInternalActorScopes,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.internal-scopes.openapi.yaml,34,PUT,/internal/assignments/{actorId}/scopes,updateInternalActorScopes,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,23,GET,/workforce/health,getWorkforceHealth,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,37,GET,/workforce/readiness,getWorkforceReadiness,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,53,POST,/workforce/field-agents,createFieldAgent,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,105,GET,/workforce/field-agents,listFieldAgents,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,157,GET,/workforce/field-agents/{actorId},getFieldAgent,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,178,PATCH,/workforce/field-agents/{actorId},updateFieldAgent,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,221,POST,/workforce/field-agents/{actorId}/suspend,suspendFieldAgent,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,261,POST,/workforce/field-agents/{actorId}/reactivate,reactivateFieldAgent,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,298,POST,/workforce/field-agents/{actorId}/activation-codes,issueFieldAgentActivation,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,353,DELETE,/workforce/field-agents/{actorId}/activation-codes,revokeFieldAgentActivation,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,372,POST,/workforce/captains,createCaptain,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,409,GET,/workforce/captains,listCaptains,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,460,GET,/workforce/captains/{actorId},getCaptain,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,480,PATCH,/workforce/captains/{actorId},updateCaptain,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,512,POST,/workforce/captains/{actorId}/suspend,suspendCaptain,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,542,POST,/workforce/captains/{actorId}/reactivate,reactivateCaptain,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,572,POST,/workforce/captains/{actorId}/activation-codes,issueCaptainActivation,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,608,DELETE,/workforce/captains/{actorId}/activation-codes,revokeCaptainActivation,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,626,POST,/workforce/employees,createEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,662,GET,/workforce/employees,listEmployees,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,713,GET,/workforce/employees/{actorId},getEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,733,PATCH,/workforce/employees/{actorId},updateEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,765,POST,/workforce/employees/{actorId}/suspend,suspendEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,795,POST,/workforce/employees/{actorId}/reactivate,reactivateEmployee,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,825,GET,/workforce/me,getMyWorkforceProfile,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,847,PATCH,/workforce/me,updateMyWorkforceProfile,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,885,GET,/workforce/reference/cities,listWorkforceCities,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/workforce/contracts/workforce.openapi.yaml,910,GET,/workforce/reference/shifts,listWorkforceShifts,workforce,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
