package_path,package_name,script,command,owner
package.json,bthwani-suite-next,test,pnpm -r --if-present test,repository
package.json,bthwani-suite-next,reverse,pwsh -NoProfile -ExecutionPolicy Bypass -File apps/reverse-all.ps1,repository
package.json,bthwani-suite-next,client,pwsh -NoProfile -ExecutionPolicy Bypass -File apps/app-client/runtime/start.ps1,repository
package.json,bthwani-suite-next,captain,pwsh -NoProfile -ExecutionPolicy Bypass -File apps/app-captain/runtime/start.ps1,repository
package.json,bthwani-suite-next,field,pwsh -NoProfile -ExecutionPolicy Bypass -File apps/app-field/runtime/start.ps1,repository
package.json,bthwani-suite-next,partner,pwsh -NoProfile -ExecutionPolicy Bypass -File apps/app-partner/runtime/start.ps1,repository
package.json,bthwani-suite-next,control,pwsh -NoProfile -ExecutionPolicy Bypass -File apps/control-panel/runtime/start.ps1,repository
package.json,bthwani-suite-next,yagni:diagnostics,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/run-yagni-diagnostics.ps1,repository
package.json,bthwani-suite-next,openapi:compose:identity,node tools/scripts/compose-openapi-context.mjs identity,repository
package.json,bthwani-suite-next,openapi:compose:workforce,node tools/scripts/compose-openapi-context.mjs workforce,repository
package.json,bthwani-suite-next,openapi:compose:platform-control,node tools/scripts/compose-openapi-context.mjs platform-control,repository
package.json,bthwani-suite-next,openapi:compose:providers,node tools/scripts/compose-openapi-context.mjs providers,repository
package.json,bthwani-suite-next,openapi:compose:dsh,pnpm --dir services/dsh openapi:compose,repository
package.json,bthwani-suite-next,openapi:compose:wlt,pnpm --dir services/wlt openapi:compose,repository
package.json,bthwani-suite-next,openapi:compose:all,pnpm run openapi:compose:identity && pnpm run openapi:compose:workforce && pnpm run openapi:compose:platform-control && pnpm run openapi:compose:providers && pnpm run openapi:compose:dsh && pnpm run openapi:compose:wlt,repository
package.json,bthwani-suite-next,openapi:generate:identity,pnpm run openapi:compose:identity && pnpm exec openapi-typescript core/identity/contracts/generated/identity.bundle.openapi.yaml -o core/identity/clients/generated/identity-api.ts,repository
package.json,bthwani-suite-next,openapi:generate:workforce,pnpm run openapi:compose:workforce && pnpm exec openapi-typescript core/workforce/contracts/generated/workforce.bundle.openapi.yaml -o core/workforce/clients/generated/workforce-api.ts,repository
package.json,bthwani-suite-next,openapi:generate:platform-control,pnpm run openapi:compose:platform-control && pnpm exec openapi-typescript core/platform-control/contracts/generated/platform-control.bundle.openapi.yaml -o core/platform-control/clients/generated/platform-control-api.ts,repository
package.json,bthwani-suite-next,openapi:generate:providers,pnpm run openapi:compose:providers && pnpm exec openapi-typescript core/providers/contracts/generated/providers.bundle.openapi.yaml -o core/providers/clients/generated/providers-api.ts,repository
package.json,bthwani-suite-next,openapi:generate:dsh,pnpm --dir services/dsh openapi:generate,repository
package.json,bthwani-suite-next,openapi:generate:wlt,pnpm --dir services/wlt openapi:generate,repository
package.json,bthwani-suite-next,openapi:generate:all,pnpm run openapi:generate:identity && pnpm run openapi:generate:workforce && pnpm run openapi:generate:platform-control && pnpm run openapi:generate:providers && pnpm run openapi:generate:dsh && pnpm run openapi:generate:wlt,repository
package.json,bthwani-suite-next,guard:api-binding,node tools/guards/api-binding-gate.mjs,repository
package.json,bthwani-suite-next,guard:backend-api-binding,node tools/guards/backend-api-binding-gate.mjs,repository
package.json,bthwani-suite-next,guard:service-manifest-drift,node tools/guards/service-manifest-drift-gate.mjs,repository
package.json,bthwani-suite-next,guard:frontend-feature-binding,node tools/guards/frontend-feature-binding-gate.mjs,repository
package.json,bthwani-suite-next,guard:required-command-integrity,node tools/guards/required-command-integrity-gate.mjs,repository
package.json,bthwani-suite-next,runtime:frontend-binding:check,node tools/scripts/check-frontend-binding-readiness.mjs,repository
package.json,bthwani-suite-next,swagger,node tools/scripts/serve-swagger.mjs,repository
package.json,bthwani-suite-next,swagger:build,node tools/scripts/build-swagger-static.mjs,repository
package.json,bthwani-suite-next,diagnostics:codeql:local,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/check-codeql-local.ps1,repository
package.json,bthwani-suite-next,diagnostics:sonarqube:config,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/check-sonarqube-config.ps1,repository
package.json,bthwani-suite-next,diagnostics:go-routes,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/check-go-ast-extractor.ps1,repository
package.json,bthwani-suite-next,diagnostics:otel:smoke,node tools/observability/otel-node-smoke.mjs,repository
package.json,bthwani-suite-next,diagnostics:tools,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/check-diagnostic-tools.ps1,repository
package.json,bthwani-suite-next,runtime:observability:up,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles observability,repository
package.json,bthwani-suite-next,runtime:observability:down,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action down -Profiles observability,repository
package.json,bthwani-suite-next,runtime:observability:status,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action status -Profiles observability,repository
package.json,bthwani-suite-next,runtime:observability:logs,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action logs -Profiles observability,repository
package.json,bthwani-suite-next,guard:go-routes-ci,node tools/guards/go-routes-ci.mjs,repository
package.json,bthwani-suite-next,guard:logic-coverage,node tools/guards/logic-coverage-gate.mjs,repository
package.json,bthwani-suite-next,guard:a11y,node tools/guards/a11y-gate.mjs,repository
package.json,bthwani-suite-next,guard:dependency-graph,node tools/guards/dependency-graph-gate.mjs,repository
package.json,bthwani-suite-next,guard:ast-grep-rules,node tools/guards/ast-grep-rules-gate.mjs,repository
package.json,bthwani-suite-next,guard:logic-all,node tools/guards/go-routes-ci.mjs && node tools/guards/logic-coverage-gate.mjs && node tools/guards/a11y-gate.mjs && node tools/guards/dependency-graph-gate.mjs && node tools/guards/ast-grep-rules-gate.mjs,repository
package.json,bthwani-suite-next,guard:ui-provider,node tools/guards/ui-provider-required-gate.mjs,repository
package.json,bthwani-suite-next,guard:icon-contract,node tools/guards/icon-contract-gate.mjs,repository
package.json,bthwani-suite-next,guard:design-tokens,node tools/guards/design-tokens-gate.mjs,repository
package.json,bthwani-suite-next,guard:brand-identity,node tools/guards/brand-identity-report.mjs,repository
package.json,bthwani-suite-next,diagnostics:ui-kit,node tools/guards/ui-provider-required-gate.mjs && node tools/guards/icon-contract-gate.mjs && node tools/guards/design-tokens-gate.mjs && node tools/guards/ui-kit-boundary-gate.mjs && node tools/guards/brand-identity-report.mjs,repository
package.json,bthwani-suite-next,guard:repo-size,node tools/guards/repository-size-gate.mjs,repository
package.json,bthwani-suite-next,guard:repo-naming,node tools/guards/repository-naming-gate.mjs,repository
package.json,bthwani-suite-next,guard:repo-structure,node tools/guards/repository-structure-gate.mjs,repository
package.json,bthwani-suite-next,guard:repo-all,node tools/guards/repository-size-gate.mjs && node tools/guards/repository-naming-gate.mjs && node tools/guards/repository-structure-gate.mjs,repository
package.json,bthwani-suite-next,diagnostics:repo-structure,node tools/scripts/generate-repository-structure-report.mjs,repository
package.json,bthwani-suite-next,guard:heavy-imports,node tools/guards/heavy-import-gate.mjs,repository
package.json,bthwani-suite-next,guard:bundle-budget,node tools/guards/bundle-budget-gate.mjs,repository
package.json,bthwani-suite-next,guard:performance-budget,node tools/guards/performance-budget-gate.mjs,repository
package.json,bthwani-suite-next,guard:performance-all,node tools/guards/heavy-import-gate.mjs && node tools/guards/performance-budget-gate.mjs && node tools/guards/bundle-budget-gate.mjs,repository
package.json,bthwani-suite-next,performance:api:k6:dsh,k6 run tools/performance/k6/dsh-smoke.js,repository
package.json,bthwani-suite-next,performance:api:k6:wlt,k6 run tools/performance/k6/wlt-smoke.js,repository
package.json,bthwani-suite-next,performance:api:k6:identity,k6 run tools/performance/k6/identity-smoke.js,repository
package.json,bthwani-suite-next,performance:go:bench:dsh,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/performance/go/run-go-benchmarks.ps1 -Service dsh,repository
package.json,bthwani-suite-next,performance:go:bench:wlt,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/performance/go/run-go-benchmarks.ps1 -Service wlt,repository
package.json,bthwani-suite-next,diagnostics:performance,node tools/scripts/generate-performance-report.mjs,repository
